DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_TIME,DEP_DELAY,CANCELLED,DIVERTED,DISTANCE
3,4,EV,IAH,1239.0,-8.0,0.0,0.0,1075.0
17,4,EV,MEM,1422.0,-10.0,0.0,0.0,575.0
16,3,DL,MSP,913.0,3.0,0.0,0.0,1276.0
13,7,US,BOS,1754.0,-6.0,0.0,0.0,184.0
22,2,DL,MSP,1719.0,-1.0,0.0,0.0,1522.0
26,6,WN,DAL,819.0,4.0,0.0,0.0,587.0
4,5,WN,MDW,1657.0,2.0,0.0,0.0,1521.0
6,7,XE,IAH,1419.0,-1.0,0.0,0.0,201.0
7,1,MQ,BMI,1638.0,-7.0,0.0,0.0,116.0
2,3,UA,ORD,809.0,-1.0,0.0,0.0,888.0
